Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Distinguished Conjurer,Distinguished Conjurer,Jumpstart 2022,4,J22,Normal,Near Mint,English,Uncommon,455231,6751065
1,Giant Killer (Showcase),Giant Killer,Throne of Eldraine,275,ELD,Foil,Near Mint,English,Rare,198829,4187913
2,Keeper of the Accord,Keeper of the Accord,Commander Legends,27,CMR,Normal,Near Mint,English,Rare,221361,4536460
1,Indestructibility,Indestructibility,Magic 2014 (M14),23,M14,Foil,Near Mint,English,Rare,69948,1125349
1,Armored Skyhunter,Armored Skyhunter,Commander Legends,11,CMR,Foil,Near Mint,English,Rare,226929,4650543
1,Armored Skyhunter,Armored Skyhunter,Commander Legends,11,CMR,Normal,Near Mint,English,Rare,226929,4650538
1,Ghostly Prison,Ghostly Prison,Planechase Anthology,7,PCA,Normal,Near Mint,English,Uncommon,125430,3252185
1,Ghostly Prison,Ghostly Prison,Commander 2019,64,C19,Normal,Near Mint,English,Uncommon,196569,4155628
1,Ghostly Prison,Ghostly Prison,Commander 2016,66,C16,Normal,Near Mint,English,Uncommon,124518,3246524
2,On Thin Ice,On Thin Ice,Modern Horizons,20,MH1,Normal,Near Mint,English,Rare,191140,4064771
2,Soulfire Grand Master,Soulfire Grand Master,Fate Reforged,27,FRF,Normal,Near Mint,English,Mythic,95256,1277547
1,Cosmic Intervention,Cosmic Intervention,Commander: Kaldheim,3,KHC,Normal,Near Mint,English,Rare,230954,4742297
2,Charming Prince,Charming Prince,Throne of Eldraine,8,ELD,Normal,Near Mint,English,Rare,198860,4188820
2,"Light-Paws, Emperor's Voice (Showcase)","Light-Paws, Emperor's Voice",Kamigawa: Neon Dynasty,367,NEO,Normal,Near Mint,English,Rare,262459,5394039
1,"Light-Paws, Emperor's Voice (Extended Art)","Light-Paws, Emperor's Voice",Kamigawa: Neon Dynasty,439,NEO,Foil,Near Mint,English,Rare,262811,5417513
2,"Light-Paws, Emperor's Voice (Extended Art)","Light-Paws, Emperor's Voice",Kamigawa: Neon Dynasty,439,NEO,Normal,Near Mint,English,Rare,262811,5417508
1,"Light-Paws, Emperor's Voice","Light-Paws, Emperor's Voice",Kamigawa: Neon Dynasty,25,NEO,Foil,Near Mint,English,Rare,262458,5393934
1,Forge Anew,Forge Anew,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,17,LTR,Normal,Near Mint,English,Rare,498525,7178157
2,Felidar Retreat (Showcase),Felidar Retreat,Zendikar Rising,292,ZNR,Normal,Near Mint,English,Rare,222140,4571907
1,Angel's Grace,Angel's Grace,Time Spiral: Remastered,4,TSR,Normal,Near Mint,English,Rare,233724,4794104
1,Spirit of the Labyrinth,Spirit of the Labyrinth,Born of the Gods,27,BNG,Normal,Near Mint,English,Rare,78851,1164521
1,Spirit of the Labyrinth,Spirit of the Labyrinth,The List Reprints,BNG-27,LIST,Normal,Near Mint,English,Rare,262937,5423738
1,Catastrophe,Catastrophe,The List Reprints,USG-6,LIST,Normal,Near Mint,English,Rare,454124,6734273
1,Surge of Salvation,Surge of Salvation,March of the Machine,41,MOM,Normal,Near Mint,English,Uncommon,490631,7058362
1,Knight-Captain of Eos,Knight-Captain of Eos,The List Reprints,ALA-17,LIST,Normal,Near Mint,English,Rare,498628,7182876
1,Felidar Sovereign,Felidar Sovereign,The List Reprints,BFZ-26,LIST,Normal,Near Mint,English,Rare,203086,4267798
1,Semester's End (Extended Art),Semester's End,Strixhaven: School of Mages,292,STX,Normal,Near Mint,English,Rare,235564,4850327
2,Finale of Glory,Finale of Glory,War of the Spark,12,WAR,Normal,Near Mint,English,Mythic,188703,4005790
1,Wrath of God,Wrath of God,Dominaria Remastered,37,DMR,Normal,Near Mint,English,Rare,457674,6809546
